id,categoryName,latitude,longitude,title,stars,averageRating,cleanedText,sentiment
1,Hospital,33.6749541,73.0661674,Shifa International Hospitals Limited,5.0,3.4,great experience,Positive
2,Hospital,33.6749541,73.0661674,Shifa International Hospitals Limited,5.0,3.4,Satisfied,Positive
3,Hospital,33.6749541,73.0661674,Shifa International Hospitals Limited,5.0,3.4,Absolutely loved everything about this place,Positive
4,Hospital,33.6749541,73.0661674,Shifa International Hospitals Limited,5.0,3.4,Outstanding experience in every way,Positive
5,Hospital,33.6749541,73.0661674,Shifa International Hospitals Limited,4.0,3.4,Very good experience overall,Positive
6,Hospital,33.6749541,73.0661674,Shifa International Hospitals Limited,5.0,3.4,Ny tayabu is well now,Positive
7,Hospital,33.6749541,73.0661674,Shifa International Hospitals Limited,1.0,3.4,"Its truly unfortunate that this hospital has turned into a moneymaking machine focused solely on extracting as much as possible from people We had a brain surgery performed here and despite spending over 17 lakh our patient did not recover

Beyond the treatment outcome the entire experience was chaotic After moving our patient out of the ICU they transferred her to a completely different building far from the brain department The staff was disorganized and unhelpful and only after persistent effort was I able to have her moved back to the appropriate building

Moreover even if the chances of recovery are close to zero they offer false assurances claiming a high success rate like 90 just to encourage you to proceed After draining every last bit of your money they eventually admit that theres nothing more they can do In the end you risk losing both your loved one and your savings",Negative
8,Hospital,33.6749541,73.0661674,Shifa International Hospitals Limited,2.0,3.4,Not very satisfied with the service,Negative
9,Hospital,33.6749541,73.0661674,Shifa International Hospitals Limited,1.0,3.4,Worst hospital Only to make money Made for business Careless and the name is shifa but there is no shifa at in this hospital at all I recommend you go never go there,Negative
10,Hospital,33.6749541,73.0661674,Shifa International Hospitals Limited,4.0,3.4,Very good experience overall,Positive
11,Hospital,33.6749541,73.0661674,Shifa International Hospitals Limited,1.0,3.4,It is the worst Hospital Ive ever visited  they just want to make money and insult patients and their families,Negative
12,Hospital,33.6749541,73.0661674,Shifa International Hospitals Limited,1.0,3.4,Had the worst experience with gastroenterologist Malik Muhammad Ali Tanveer I went to him for mouth ulcers but he said i should see dentist and when i went to a dentist he said go to a gastroenterologist because it is something internal I paid a lot of money in shifa but was of no use So pissed rn,Negative
13,Hospital,33.6749541,73.0661674,Shifa International Hospitals Limited,5.0,3.4,Amazing place with exceptional quality,Positive
14,Hospital,33.6749541,73.0661674,Shifa International Hospitals Limited,1.0,3.4,"I had an extremely disappointing and frankly unacceptable experience with Dr Huma Tasleem at Shifa International Hospital I took my mother to her for a gynecological issue and as a doctor myself I was appalled by the careless and substandard care she received

The consultation was rushed to the point of negligence No proper history was taken no thorough physical examination was done  things that are the bare minimum in any clinical setting An ultrasound which is often essential in such cases was not even performed until I questioned her directly And when she did finally do it she was simultaneously attending to two other patients Thats not just unprofessional  its outright unsafe

This kind of multitasking might be understandable in an overburdened government hospital but in a private setup where youre paying Rs 5000 for a consultation and there are only a few patients waiting its completely unacceptable It felt like a rushed careless conveyor belt rather than proper medical care

As a fellow doctor I genuinely hate calling out someone from my own profession but this experience was horrible Patients  especially in a private setting  deserve time attention and care not this kind of dismissive and distracted treatment I sincerely hope Shifa International takes this seriously",Negative
15,Hospital,33.6749541,73.0661674,Shifa International Hospitals Limited,1.0,3.4,"Very bad experience at this hospital
I went for a checkup and was already charged for everything including consultation and tests After receiving the test reports I went back just to show the doctor  and they tried to charge me again just to review the results they already charged me for This is unacceptable and feels like a moneymaking trap On top of that the staff was so unprofessional and they are so rude I spend with my wife around 2 hundred thousand rupees for treatment  but the sickness is same",Negative
16,Hospital,33.6749541,73.0661674,Shifa International Hospitals Limited,1.0,3.4,The appointment process is complete nonsense  i booked my appointment for 2pm but have been waiting here for two hours  Am still standing in the OPD with no assessment done,Negative
17,Hospital,33.6749541,73.0661674,Shifa International Hospitals Limited,5.0,3.4,Perfect service Couldnt ask for more,Positive
18,Hospital,33.6749541,73.0661674,Shifa International Hospitals Limited,1.0,3.4,"One of the worst ones in country
Government hospitals like PIMS or CMH Managee by Army are far better",Negative
19,Hospital,33.6749541,73.0661674,Shifa International Hospitals Limited,5.0,3.4,Good,Positive
20,Hospital,33.6749541,73.0661674,Shifa International Hospitals Limited,5.0,3.4,Outstanding experience in every way,Positive
21,Hospital,33.6749541,73.0661674,Shifa International Hospitals Limited,5.0,3.4,Excellent service Highly recommended,Positive
